time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:00:00Z,WST,47.349,-70.029,1013.9,-15.4,NaN,-18.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,130,1.028888,AO1 SOG 07 5006
2016-01-16 00:00:00Z,WSW,49.750,-114.879,1015.9,-1.0,0.75,-6.0,NaN,NaN,0.75,1350.0,0.75,1950.0,NaN,NaN,15.0,,150,3.086664,SC5SC2 LAST STFD OBS/NEXT 161400UTC
2016-01-16 00:00:00Z,WTA,45.500,-73.580,1010.0,-8.8,NaN,-13.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,20,4.115552,AO1 SOG 35 6019
2016-01-16 00:00:00Z,WTG,49.319,-67.379,1012.0,-11.6,NaN,-16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,280,5.658884,AO1 51015
2016-01-16 00:00:00Z,WTN,47.069,-70.800,1014.7,-9.0,NaN,-14.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,260,0.514444,AO1 55008
2016-01-16 00:00:00Z,WTT,45.270,-72.169,NaN,-6.0,NaN,-8.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,70,1.028888,AO1
2016-01-16 00:00:00Z,WTY,46.349,-72.519,1011.6,-9.5,NaN,-15.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,20,3.086664,AO1 58021
2016-01-16 00:00:00Z,WUS,49.569,-119.650,1019.0,-2.9,NaN,-4.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,190,0.514444,AO1 55000
2016-01-16 00:00:00Z,WUX,48.299,-70.930,1015.3,-22.2,NaN,-23.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,210,2.057776,AO1 58023
2016-01-16 00:00:00Z,WVN,49.069,-107.580,1020.6,-16.6,NaN,-19.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,30,3.086664,AO1 SOG 03 1029 50002
2016-01-16 00:00:00Z,WVP,49.650,-109.519,1017.6,-17.9,NaN,-20.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,350,1.028888,AO1 SOG 09 1015 50002
2016-01-16 00:00:00Z,WVQ,45.430,-73.930,NaN,-9.0,NaN,-13.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,40,4.629996,AO1 SOG 04
2016-01-16 00:00:00Z,WVU,44.279,-66.330,1015.7,-2.7,NaN,-9.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,310,1.543332,AO1 SOG 02 8013
2016-01-16 00:00:00Z,WWB,43.299,-79.800,999.1,3.6,NaN,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,80,1.543332,AO1 58014
2016-01-16 00:15:00Z,WWD,39.020,-74.919,NaN,8.0,1.0,5.0,1.0,2850.0,0.375,2100.0,0.75,2250.0,NaN,NaN,10.0,,0,0.0,AO1
