,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
438,2016-06-22 13:15:00,KASW,-85.8399963379,41.2750015259,22.0,18.0,0.0,0.0,-9999.0,"['', '', '', '', '']","['BKN', 'OVC', '', '', '', '']","[2000.0, 2600.0, -9999.0, -9999.0, -9999.0, -9999.0]"
439,2016-06-22 13:15:00,KMTV,-80.0199966431,36.6300010681,32.0,19.0,250.0,7.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', 'BKN', '', '', '']","[5500.0, 6500.0, 7500.0, -9999.0, -9999.0, -9999.0]"
440,2016-06-22 13:15:00,KMUT,-91.1500015259,41.3699989319,30.0,22.0,150.0,9.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
386,2016-06-22 13:15:00,KFTN,-100.018997192,28.2089996338,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,"['', '', '', '', '']","['', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
384,2016-06-22 13:15:00,KFOT,-124.132667542,40.5539398193,14.0,12.0,310.0,11.0,-9999.0,"['', '', '', '', '']","['BKN', '', '', '', '', '']","[1000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
461,2016-06-22 13:15:00,KSPR,-91.2063903809,28.5988903046,28.0,23.0,150.0,10.0,-9999.0,"['HZ', '', '', '', '']","['FEW', 'SCT', 'BKN', '', '', '']","[4400.0, 5000.0, 6000.0, -9999.0, -9999.0, -9999.0]"
336,2016-06-22 13:15:00,KPCZ,-89.0149993896,44.3339996338,28.0,12.0,120.0,5.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
329,2016-06-22 13:15:00,KLWB,-80.4000015259,37.8800010681,20.0,17.0,0.0,0.0,-9999.0,"['VCTS', '', '', '', '']","['SCT', 'SCT', 'BKN', '', '', '']","[3200.0, 4200.0, 12000.0, -9999.0, -9999.0, -9999.0]"
330,2016-06-22 13:15:00,KLXN,-99.7699966431,40.7799987793,29.0,19.0,340.0,15.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
331,2016-06-22 13:15:00,KMLJ,-83.2409973145,33.1539993286,34.0,21.0,310.0,3.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
332,2016-06-22 13:15:00,KOBE,-80.8499984741,27.2630004883,31.0,23.0,130.0,3.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
333,2016-06-22 13:15:00,KOMH,-78.0459976196,38.2470016479,26.0,18.0,170.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
334,2016-06-22 13:15:00,KOPN,-84.2630004883,32.9550018311,32.0,12.0,320.0,6.0,-9999.0,"['', '', '', '', '']","['BKN', '', '', '', '', '']","[6500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
335,2016-06-22 13:15:00,KORG,-93.8040008545,30.0690002441,32.0,21.0,190.0,9.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[3700.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
337,2016-06-22 13:15:00,KPKV,-96.6809997559,28.6539993286,33.0,24.0,140.0,8.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
383,2016-06-22 13:15:00,KFKN,-76.9000015259,36.7000007629,30.0,17.0,250.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
338,2016-06-22 13:15:00,KPMV,-95.9179992676,40.9500007629,32.0,22.0,330.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
339,2016-06-22 13:15:00,KPPQ,-90.7799987793,39.6300010681,34.0,24.0,200.0,12.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
340,2016-06-22 13:15:00,KPRO,-94.1600036621,41.827999115,32.0,22.0,240.0,6.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[4200.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
341,2016-06-22 13:15:00,KRPJ,-89.0800018311,41.8899993896,22.0,20.0,190.0,8.0,-9999.0,"['-RA', '', '', '', '']","['BKN', 'BKN', 'OVC', '', '', '']","[1200.0, 5500.0, 7500.0, -9999.0, -9999.0, -9999.0]"
342,2016-06-22 13:15:00,KRRL,-89.7099990845,45.2000007629,25.0,13.0,190.0,6.0,-9999.0,"['', '', '', '', '']","['BKN', '', '', '', '', '']","[12000.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
